OA,geography_code
N20000951,N21000219
N20000952,N21000221
N20000953,N21000221
N20000954,N21000219
N20000955,N21000221
N20000956,N21000220
N20000957,N21000222
N20000958,N21000222
N20000959,N21000224
N20000960,N21000221
N20000961,N21000222
N20000962,N21000222
N20000963,N21000224
N20000964,N21000223
N20000965,N21000221
N20000966,N21000223
N20000967,N21000224
N20000968,N21000223
N20000969,N21000223
N20000970,N21000225
N20000971,N21000224
N20000972,N21000226
N20000973,N21000226
N20000974,N21000225
N20000975,N21000225
N20000976,N21000226
N20000977,N21000227
N20000978,N21000227
N20000979,N21000230
N20000980,N21000229
N20000981,N21000227
N20000982,N21000224
N20000983,N21000225
N20000984,N21000226
N20000985,N21000226
N20000986,N21000227
N20000987,N21000228
N20000988,N21000230
N20000989,N21000229
N20000990,N21000228
N20000991,N21000227
N20000992,N21000231
N20000993,N21000228
N20000994,N21000228
N20000995,N21000233
N20000996,N21000229
N20000997,N21000230
N20000998,N21000231
N20000999,N21000229
N20001000,N21000232
N20001001,N21000230
N20001002,N21000231
N20001003,N21000232
N20001004,N21000229
N20001005,N21000233
N20001006,N21000231
N20001007,N21000234
N20001008,N21000231
N20001009,N21000232
N20001010,N21000233
N20001011,N21000234
N20001012,N21000235
N20001013,N21000234
N20001014,N21000235
N20001015,N21000235
N20001016,N21000235
N20001017,N21000237
N20001018,N21000236
N20001019,N21000236
N20001020,N21000237
N20001021,N21000239
N20001022,N21000237
N20001023,N21000236
N20001024,N21000238
N20001025,N21000237
N20001026,N21000239
N20001027,N21000238
N20001028,N21000236
N20001029,N21000239
N20001030,N21000238
N20001031,N21000237
N20001032,N21000239
N20001033,N21000240
N20001034,N21000237
N20001035,N21000241
N20001036,N21000241
N20001037,N21000241
N20001038,N21000240
N20001039,N21000242
N20001040,N21000247
N20001041,N21000243
N20001042,N21000241
N20001043,N21000244
N20001044,N21000243
N20001045,N21000242
N20001046,N21000240
N20001047,N21000242
N20001048,N21000244
N20001049,N21000247
N20001050,N21000247
N20001051,N21000244
N20001052,N21000247
N20001053,N21000246
N20001054,N21000244
N20001055,N21000243
N20001056,N21000248
N20001057,N21000245
N20001058,N21000246
N20001059,N21000245
N20001060,N21000244
N20001061,N21000245
N20001062,N21000245
N20001063,N21000248
N20001064,N21000245
N20001065,N21000246
N20001066,N21000249
N20001067,N21000247
N20001068,N21000248
N20001069,N21000248
N20001070,N21000249
N20001071,N21000250
N20001072,N21000249
N20001073,N21000250
N20001074,N21000247
N20001075,N21000248
N20001076,N21000250
N20001077,N21000250
N20001078,N21000250
N20001079,N21000251
N20001080,N21000251
N20001081,N21000252
N20001082,N21000252
N20001083,N21000252
N20001084,N21000251
N20001085,N21000251
N20001086,N21000252
N20001087,N21000253
N20001088,N21000253
N20001089,N21000251
N20001090,N21000253
N20001091,N21000254
N20001092,N21000255
N20001093,N21000256
N20001094,N21000254
N20001095,N21000256
N20001096,N21000255
N20001097,N21000253
N20001098,N21000255
N20001099,N21000258
N20001100,N21000256
N20001101,N21000254
N20001102,N21000256
N20001103,N21000258
N20001104,N21000257
N20001105,N21000258
N20001106,N21000255
N20001107,N21000258
N20001108,N21000256
N20001109,N21000254
N20001110,N21000258
N20001111,N21000257
N20001112,N21000258
N20001113,N21000259
N20001114,N21000259
N20001115,N21000260
N20001116,N21000257
N20001117,N21000257
N20001118,N21000262
N20001119,N21000259
N20001120,N21000259
N20001121,N21000263
N20001122,N21000261
N20001123,N21000258
N20001124,N21000261
N20001125,N21000260
N20001126,N21000260
N20001127,N21000262
N20001128,N21000268
N20001129,N21000260
N20001130,N21000262
N20001131,N21000262
N20001132,N21000261
N20001133,N21000261
N20001134,N21000262
N20001135,N21000265
N20001136,N21000264
N20001137,N21000265
N20001138,N21000267
N20001139,N21000265
N20001140,N21000266
N20001141,N21000267
N20001142,N21000264
N20001143,N21000265
N20001144,N21000266
N20001145,N21000263
N20001146,N21000267
N20001147,N21000267
N20001148,N21000265
N20001149,N21000268
N20001150,N21000269
N20001151,N21000264
N20001152,N21000266
N20001153,N21000264
N20001154,N21000269
N20001155,N21000269
N20001156,N21000266
N20001157,N21000264
N20001158,N21000263
N20001159,N21000269
N20001160,N21000269
N20001161,N21000268
N20001162,N21000270
N20001163,N21000267
N20001164,N21000269
N20001165,N21000263
N20001166,N21000263
N20001167,N21000270
N20001168,N21000271
N20001169,N21000270
N20001170,N21000271
N20001171,N21000270
N20001172,N21000271
N20001173,N21000271
N20001174,N21000271
N20001175,N21000272
N20001176,N21000272
N20001177,N21000272
N20001178,N21000272
N20001179,N21000273
N20001180,N21000273
N20001181,N21000273
N20001182,N21000273
N20001183,N21000273
N20001184,N21000274
N20001185,N21000273
N20001186,N21000274
N20001187,N21000278
N20001188,N21000278
N20001189,N21000277
N20001190,N21000276
N20001191,N21000275
N20001192,N21000276
N20001193,N21000277
N20001194,N21000275
N20001195,N21000276
N20001196,N21000277
N20001197,N21000276
N20001198,N21000277
N20001199,N21000277
N20001200,N21000278
N20001201,N21000275
N20001202,N21000280
